Accession	Female_Parent	Male_Parent	Cross_Type
BR-18-029	BRS-Verdinha	BGM-1583	biparental
BR-18-029-10	BRS-Verdinha	BGM-1583	biparental
BR-18-029-11	BRS-Verdinha	BGM-1583	biparental
BR-18-029-12	BRS-Verdinha	BGM-1583	biparental
BR-18-029-13	BRS-Verdinha	BGM-1583	biparental
BR-18-029-14	BRS-Verdinha	BGM-1583	biparental
BR-18-029-17	BRS-Verdinha	BGM-1583	biparental
BR-18-029-18	BRS-Verdinha	BGM-1583	biparental
BR-18-029-19	BRS-Verdinha	BGM-1583	biparental
BR-18-029-2	BRS-Verdinha	BGM-1583	biparental
BR-18-029-20	BRS-Verdinha	BGM-1583	biparental
BR-18-029-21	BRS-Verdinha	BGM-1583	biparental
BR-18-029-22	BRS-Verdinha	BGM-1583	biparental
BR-18-029-23	BRS-Verdinha	BGM-1583	biparental
BR-18-029-3	BRS-Verdinha	BGM-1583	biparental
BR-18-029-4	BRS-Verdinha	BGM-1583	biparental
BR-18-029-5	BRS-Verdinha	BGM-1583	biparental
BR-18-029-6	BRS-Verdinha	BGM-1583	biparental
BR-18-029-7	BRS-Verdinha	BGM-1583	biparental
BR-18-029-8	BRS-Verdinha	BGM-1583	biparental
BR-18-029-9	BRS-Verdinha	BGM-1583	biparental
BR-18-030	BGM-2333	BGM-1716	biparental
BR-18-030-4	BGM-2333	BGM-1716	biparental
BR-18-034	BGM-1784	BGM-1716	biparental
BR-18-035	BGM-0464	BGM-1784	biparental
BR-18-036	BGM-0816	BGM-1784	biparental
BR-18-036-07	BGM-0816	BGM-1784	biparental
BR-18-036-08	BGM-0816	BGM-1784	biparental
BR-18-036-09	BGM-0816	BGM-1784	biparental
BR-18-036-10	BGM-0816	BGM-1784	biparental
BR-18-036-11	BGM-0816	BGM-1784	biparental
BR-18-036-12	BGM-0816	BGM-1784	biparental
BR-18-037	BGM-1332	BGM-1784	biparental
BR-18-038-01	BGM-1784	BGM-1583	biparental
BR-18-038-03	BGM-1784	BGM-1583	biparental
BR-18-038-04	BGM-1784	BGM-1583	biparental
BR-18-038-05	BGM-1784	BGM-1583	biparental
BR-18-038-07	BGM-1784	BGM-1583	biparental
BR-18-039	BGM-1659	BGM-1784	biparental
BR-18-040	BGM-1811	BGM-1784	biparental
BR-18-040-3	BGM-1811	BGM-1784	biparental
BR-18-040-30	BGM-1811	BGM-1784	biparental
BR-18-040-35	BGM-1811	BGM-1784	biparental
BR-18-040-38	BGM-1811	BGM-1784	biparental
BR-18-040-40	BGM-1811	BGM-1784	biparental
BR-18-040-41	BGM-1811	BGM-1784	biparental
BR-18-040-44	BGM-1811	BGM-1784	biparental
BR-18-040-64	BGM-1811	BGM-1784	biparental
BR-18-040-72	BGM-1811	BGM-1784	biparental
BR-18-043	BGM-1309	BRS-Tapioqueira	biparental
BR-18-043-33	BGM-1309	BRS-Tapioqueira	biparental
BR-18-043-36	BGM-1309	BRS-Tapioqueira	biparental
BR-18-043-47	BGM-1309	BRS-Tapioqueira	biparental
BR-18-043-61	BGM-1309	BRS-Tapioqueira	biparental
BR-18-044	BGM-1332	BRS-Tapioqueira	biparental
BR-18-045	BGM-1759	BRS-Tapioqueira	biparental
BR-18-046	BGM-2167	BRS-Tapioqueira	biparental
BR-18-046-6	BGM-2167	BRS-Tapioqueira	biparental
BR-18-046-9	BGM-2167	BRS-Tapioqueira	biparental
BR-18-047	BGM-1130	BGM-2167	biparental
BR-18-048	BRS-Verdinha	BGM-2167	biparental
BR-18-048-1	BRS-Verdinha	BGM-2167	biparental
BR-18-048-10	BRS-Verdinha	BGM-2167	biparental
BR-18-048-13	BRS-Verdinha	BGM-2167	biparental
BR-18-048-19	BRS-Verdinha	BGM-2167	biparental
BR-18-048-2	BRS-Verdinha	BGM-2167	biparental
BR-18-048-26	BRS-Verdinha	BGM-2167	biparental
BR-18-048-27	BRS-Verdinha	BGM-2167	biparental
BR-18-049-02	BRS-Dourada	BR-11S1-52-23	biparental
BR-18-051	BGM-2025	BRS-Dourada	biparental
BR-18-053	BGM-1754	BRS-Jari	biparental
BR-18-053-10	BGM-1754	BRS-Jari	biparental
BR-18-053-7	BGM-1754	BRS-Jari	biparental
BR-18-053-8	BGM-1754	BRS-Jari	biparental
BR-18-064-02	BGM-0464		open
BR-18-065	BGM-0661		open
BR-18-066	BGM-0702		open
BR-18-068	BGM-0816		open
BR-18-069-03	BGM-0818		open
BR-18-071	BGM-1130		open
BR-18-080	BGM-1716		open
BR-18-081	BGM-1784		open
BR-18-084	BGM-2020		open
BR-18-085	BGM-2167		open
BR-18-091	BRS-Tapioqueira		open
BR-18-094-01	BGM-1148	BGM-1163	biparental
BR-18-094-03	BGM-1148	BGM-1163	biparental
BR-18-095-01	BR-11S1-52-01	BR-11S1-53-07	biparental
BR-18-096-01	BR-11S1-52-01	BGM-1530	biparental
BR-18-097-01	BR-11S1-52-23	BGM-0252	biparental
BR-18-097-02	BR-11S1-52-23	BGM-0252	biparental
BR-18-098-02	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-03	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-04	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-05	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-06	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-07	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-08	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-09	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-10	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-11	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-12	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-13	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-14	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-15	BR-11S1-52-23	BGM-2094	biparental
BR-18-098-16	BR-11S1-52-23	BGM-2094	biparental
BR-18-099-01	BGM-0144	BGM-0968	biparental
BR-18-099-02	BGM-0144	BGM-0968	biparental
