sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness
160,BR-18GS-085-83,BGM-0018,4280,TGV,SELIND,33.7022130530609,7.14135560913735,52.7696325294576
161,BR-18GS-085-83,BR-21GS-C3-265-9,3746,TGV,SELIND,32.4928558684984,7.5914642706838,52.7620654712242
162,BR-18GS-085-83,BR-18GS-097-3,3935,TGV,SELIND,35.7996407421021,6.34771757770099,52.7480466745637
163,BR-21GS-C3-287-9,BGM-1023,4117,TGV,SELIND,37.125593980929,5.84697989432405,52.7370302987743
164,BR-18GS-001-3,BR-21GS-C3-217-6,3520,TGV,SELIND,34.2934838628123,6.90439937772562,52.7282302013397
165,BR-18GS-001-3,BR-18GS-099-26,3473,TGV,SELIND,34.6678350125149,6.76271338798502,52.7242797584349
166,BR-18GS-085-83,BR-21GS-C3-133-1,3793,TGV,SELIND,34.2515085972832,6.90494168979211,52.6877029090281
167,BR-18GS-001-3,BR-21GS-C3-162-13,3798,TGV,SELIND,31.4650638107857,7.94845428867878,52.6874367615581
168,BR-18GS-085-83,BR-21GS-C3-293-3,3913,TGV,SELIND,33.8322208155041,7.06038013501466,52.6834357759933
169,BR-19GS-063-59,BR-19GS-030-39,3036,TGV,SELIND,35.6627987911807,6.3742991684087,52.6821775708319
170,BR-18GS-085-83,BR-21GS-C3-104-13,3606,TGV,SELIND,35.2851635334942,6.50836832014496,52.6625069482813
171,BR-18GS-001-3,BR-18GS-084-30,3711,TGV,SELIND,34.4584737589921,6.81632158704572,52.6580523964041
172,BR-18GS-001-3,BR-21GS-C3-059-15,3603,TGV,SELIND,34.7144099881119,6.71966561857878,52.6559171897172
173,BR-18GS-001-3,BR-18GS-101-28,3758,TGV,SELIND,32.4505624661889,7.56610827093796,52.6520715495933
174,BR-19GS-030-39,BR-19GS-030-39,1994,TGV,SELIND,34.9028827984229,6.63679921527817,52.6231367032156
175,BR-18GS-085-83,BR-21GS-C3-104-33,3796,TGV,SELIND,34.3614422144341,6.83773401612711,52.6181920374935
176,BR-18GS-001-3,BR-21GS-C3-104-30,3405,TGV,SELIND,33.1312614382822,7.28939428751869,52.5939441859571
177,BR-18GS-001-3,BR-21GS-C3-286-8,3556,TGV,SELIND,31.5391563790795,7.8791686652222,52.5765367152228
178,BR-18GS-001-3,BR-18GS-085-37,3573,TGV,SELIND,34.1209982965606,6.91084304672899,52.572949231327
179,BR-19GS-030-39,BGM-0048,3704,TGV,SELIND,33.5299143359878,7.13108482508593,52.5699108189672
180,BR-18GS-001-3,BR-21GS-C3-038-3,3698,TGV,SELIND,32.2727000489128,7.59532503822331,52.5522179009691
181,BR-18GS-098-1,BGM-0048,3286,TGV,SELIND,33.7524682853991,7.02534114322337,52.5101291378055
182,BR-19GS-063-59,BR-18GS-098-1,3793,TGV,SELIND,35.885352740592,6.22611374764711,52.5090764468097
183,BR-18GS-001-3,BR-21GS-C3-061-1,3398,TGV,SELIND,34.5294370830698,6.73239092235451,52.5049208457564
184,BR-18GS-001-3,BR-18GS-034-57,3826,TGV,SELIND,34.8629492589465,6.60724478933526,52.5042928464717
185,BR-18GS-085-83,BR-18GS-099-48,3709,TGV,SELIND,34.7766389222234,6.63765604692368,52.4991805675096
186,BR-18GS-085-83,BR-18GS-085-53,3243,TGV,SELIND,34.3394096913655,6.80063457013492,52.4971039936258
187,BR-18GS-085-83,BR-21GS-C3-292-15,3740,TGV,SELIND,32.6193464415265,7.44134009668023,52.4877244996627
188,BR-18GS-001-3,BGM-1596,4188,TGV,SELIND,34.6741677776625,6.67088078657959,52.48541947783
189,BR-18GS-001-3,BR-18GS-001-21,3351,TGV,SELIND,32.6545967779212,7.42606085890148,52.4821792711882
190,BR-21GS-C3-287-9,BR-18GS-059-48,3418,TGV,SELIND,34.6697329040615,6.66795417812874,52.4731705596652
191,BR-18GS-001-3,BR-21GS-C3-157-14,3631,TGV,SELIND,33.8715085211181,6.96339136264132,52.4637634593704
192,BR-18GS-098-1,BR-18GS-098-1,2167,TGV,SELIND,35.3479906972455,6.40574322304036,52.4513251027633
193,BR-18GS-059-43,BR-19GS-030-39,3484,TGV,SELIND,36.1243355754711,6.11406345022268,52.4488849875657
194,BR-18GS-001-3,BGM-1503,3895,TGV,SELIND,31.7105813963651,7.76494238551564,52.4429775656919
195,BR-18GS-085-83,BR-21GS-C3-056-2,3790,TGV,SELIND,35.38807708116,6.38495606274969,52.4359097687017
196,BR-21GS-C3-287-9,BGM-0049,4051,TGV,SELIND,35.9694406467219,6.16655023987359,52.4341297871844
197,BR-18GS-001-3,BR-18GS-099-33,3595,TGV,SELIND,33.078972127299,7.24860821947174,52.4327560732886
198,BR-18GS-001-3,BR-21GS-C3-106-9,3589,TGV,SELIND,34.5997610446854,6.67104381754621,52.4114480375337
199,BR-18GS-001-3,BR-18GS-134-29,3783,TGV,SELIND,34.8832732538503,6.56331659169347,52.4073285536718
200,BR-18GS-085-83,BR-18GS-001-55,3673,TGV,SELIND,32.4607172397542,7.46377131144793,52.3889866413202
201,BR-18GS-085-83,BR-18GS-059-9,3587,TGV,SELIND,34.619747847215,6.64937820678831,52.3735876593397
202,BR-18GS-001-3,BR-21GS-C3-058-2,3361,TGV,SELIND,34.3377099347006,6.75317533022877,52.3686880664114
203,BR-18GS-085-83,BGM-0144,4232,TGV,SELIND,34.0956814894146,6.84143169508468,52.3623041152907
204,BR-18GS-059-43,BR-18GS-098-1,3500,TGV,SELIND,36.3468895248824,5.99276911957291,52.3475830741421
205,BR-18GS-085-83,BR-18GS-034-29,3697,TGV,SELIND,31.8091425962366,7.6895257768948,52.3401764205457
206,BR-18GS-085-83,BR-21GS-C3-175-75,3872,TGV,SELIND,33.1175586109462,7.19771261411851,52.3354512906427
207,BR-18GS-085-83,BR-18GS-001-14,3670,TGV,SELIND,34.2563320718046,6.77006748218992,52.3324122492516
208,BR-18GS-001-3,BGM-1371,4215,TGV,SELIND,35.2972865841473,6.37986774833858,52.3315334722113
209,BR-18GS-085-83,BR-21GS-C3-114-5,3578,TGV,SELIND,34.9515563202886,6.50756372085421,52.3267514549694
210,BR-18GS-001-3,BR-18GS-034-35,3852,TGV,SELIND,31.9782279970891,7.62099778569694,52.3262920848999
211,BR-18GS-001-3,BGM-2304,3110,TGV,SELIND,34.6266149891679,6.62840221111548,52.3244488928463
